County,Data Year,Total Population,Total Population Z Score,"Population Estimate, >18","Population Margin of Error, >18",Number of Gas Cars,Number of EV
Santa Barbara,2016,444102,-0.1729498719464267,343734.94800000003,*****,283308,1568
Santa Clara,2016,1923243,0.1134935120424675,1469357.652,*****,1261508,33659
Santa Cruz,2016,275625,-0.2055763233829679,218570.62499999997,±0.1,185146,2275
Shasta,2016,180374,-0.2240221772727094,140691.72,±0.3,126316,191
Solano,2016,438420,-0.1740502209380542,335391.3,±0.1,292578,1645
Sonoma,2016,501553,-0.1618241855828238,394722.211,±0.1,359813,4089
Stanislaus,2016,537785,-0.1548076694503621,387205.2,±0.1,333680,810
Sutter,2016,96065,-0.2403490556843819,70223.515,*****,63565,70
Tulare,2016,461170,-0.1696445645565819,313134.43,*****,263354,281
Ventura,2016,851155,-0.0941219314168684,639217.4049999999,±0.1,584235,4449
Yolo,2016,211938,-0.2179096437331581,166583.26799999998,±0.4,124121,933
Yuba,2016,76245,-0.2441873022549657,54591.42,±0.3,45695,68
Alameda,2017,1656919,0.061918477750633,1290739.901,*****,1111061,24927
Butte,2017,230412,-0.2143320570961771,183177.54,±0.1,162254,395
Contra Costa,2017,1147957,-0.03664467316044,871299.363,*****,848104,12972
El Dorado,2017,182695,-0.2235727034941865,143050.185,±0.2,161188,1322
Fresno,2017,983436,-0.0685050245246689,695289.2520000001,*****,628363,3198
Humboldt,2017,138027,-0.2322228951094658,110835.681,±0.3,108338,960
Imperial,2017,180854,-0.223929222764441,129310.61,±0.2,149855,109
Kern,2017,883531,-0.087852149834163,619355.2309999999,±0.1,558042,1493
Kings,2017,148079,-0.2302762727821445,107357.275,±0.1,86788,184
Lake,2017,67318,-0.2459160624535329,53652.446,±0.9,61025,203
Los Angeles,2017,10107312,1.69838124022971,7711879.056,*****,6848320,85094
Madera,2017,154151,-0.2291003982525489,110217.965,±0.3,101652,281
Marin,2017,264366,-0.2077566875675392,210170.97,±0.1,203780,5262
Mendocino,2017,91368,-0.2412586542788336,71358.408,±0.3,81333,601
Merced,2017,271094,-0.2064537752099767,187597.048,±0.1,177219,348
Monterey,2017,437800,-0.1741702871779009,320907.39999999997,±0.1,311513,1567
Napa,2017,140837,-0.2316787239256444,108867.001,±0.2,111695,1223
Nevada,2017,100998,-0.2393937544566983,82818.36,±0.4,89168,476
Orange,2017,3185541,0.3579441159554233,2427382.242,*****,2339967,38954
Placer,2017,386586,-0.184088145899691,295351.704,±0.1,308969,2648
Riverside,2017,2355286,0.1971608966587508,1709937.636,*****,1622197,9837
Sacramento,2017,1530548,0.0374460732414885,1149441.5479999997,*****,1046050,6966
San Bernardino,2017,2142339,0.155922597341591,1538199.402,*****,1463174,7462
San Diego,2017,3279856,0.3762087085540413,2528768.976,*****,2434586,23410
San Francisco,2017,867378,-0.0909802626926212,751149.348,±0.1,420275,7824
San Joaquin,2017,747119,-0.1142690464631477,532695.847,±0.1,507686,2332
San Luis Obispo,2017,282284,-0.204286773235969,229496.892,±0.4,220486,1648
San Mateo,2017,765207,-0.1107662107432325,598391.8740000001,*****,637236,12702
Santa Barbara,2017,445716,-0.1726373124123741,344984.184,*****,317555,2376
Santa Clara,2017,1930897,0.1149757491388978,1475205.308,*****,1402093,44448
Santa Cruz,2017,275410,-0.2056179592564631,218400.12999999998,±0.1,206951,3062
Shasta,2017,180810,-0.2239377435943656,141031.80000000002,±0.3,140389,296
Solano,2017,444713,-0.17283154860361,340205.445,±0.1,330279,2431
Sonoma,2017,502454,-0.161649702224595,395431.298,±0.1,400994,6263
Stanislaus,2017,545273,-0.1533575791213746,392596.56,±0.1,378035,1190
Sutter,2017,97649,-0.2400423058070961,71381.419,*****,71648,113
Tulare,2017,463514,-0.1691906367078711,314726.006,*****,299138,609
Ventura,2017,850424,-0.0942634933867522,638668.4239999999,±0.1,654094,6284
Yolo,2017,214387,-0.2174353820857636,168508.18199999997,±0.4,140187,1374
Yuba,2017,77751,-0.2438956574852736,55669.716,±0.3,51477,101
Alameda,2018,1666247,0.0637248936946495,1298006.413,*****,1111143,34732
Butte,2018,231774,-0.2140682986789654,184260.33000000002,±0.1,161666,588
Contra Costa,2018,1155105,-0.0352604256081427,876724.6950000001,*****,852483,18421
El Dorado,2018,185303,-0.223067650665928,145092.24899999998,±0.2,162960,1905
Fresno,2018,992091,-0.0668289385474538,701408.337,*****,641795,4154
Humboldt,2018,137893,-0.2322488449096908,110728.079,±0.3,107341,1170
Imperial,2018,181374,-0.2238285220471502,129682.40999999999,±0.2,152977,163
Kern,2018,891340,-0.0863398961777711,624829.34,±0.1,566986,2094
Kings,2018,150058,-0.2298930290907628,108792.05,±0.1,87961,273
Lake,2018,67890,-0.245805291664513,54108.33,±0.9,61418,265
Los Angeles,2018,10107841,1.698483683844031,7712282.683,*****,6835247,115035
Madera,2018,155100,-0.2289166194434932,110896.5,±0.3,103610,362
Marin,2018,264099,-0.2078083935127635,209958.70500000002,±0.1,202836,6991
Mendocino,2018,91667,-0.2412007513663914,71591.927,±0.3,81304,726
Merced,2018,274768,-0.2057422859112722,190139.456,±0.1,181566,568
Monterey,2018,438000,-0.1741315561327891,321054.0,±0.1,316496,2259
Napa,2018,139786,-0.2318822555677072,108054.57800000001,±0.2,112241,1650
Nevada,2018,101640,-0.2392694278018893,83344.79999999999,±0.4,89660,682
Orange,2018,3192479,0.3592876959103531,2432668.998,*****,2346791,54835
Placer,2018,392693,-0.1829054934372008,300017.452,±0.1,315501,3839
Riverside,2018,2375547,0.2010845451838062,1724647.122,*****,1651047,14204
Sacramento,2018,1547095,0.040650486258817,1161868.3449999997,*****,1059363,10450
San Bernardino,2018,2153258,0.1580371187494721,1546039.244,*****,1484400,10823
San Diego,2018,3294139,0.3789746861407037,2539781.1689999998,*****,2443263,33830
San Francisco,2018,872724,-0.0899449818567816,755778.9839999999,±0.1,414271,11278
San Joaquin,2018,755573,-0.1126318851862701,538723.549,±0.1,519661,3469
San Luis Obispo,2018,282754,-0.2041957552799562,229879.00199999998,±0.4,221429,2476
San Mateo,2018,766114,-0.1105905654536503,599101.148,*****,641943,18271
Santa Barbara,2018,447377,-0.1723156510827203,346269.798,*****,319786,3354
Santa Clara,2018,1936569,0.1160741615782697,1479538.716,*****,1399036,60245
Santa Cruz,2018,274274,-0.2058379515926984,217499.28199999998,±0.1,206571,4004
Shasta,2018,181792,-0.2237475741628664,141797.76,±0.3,140931,442
Solano,2018,447744,-0.17224457961494,342524.16000000003,±0.1,335672,3421
Sonoma,2018,499410,-0.1622391887311972,393035.67000000004,±0.1,400422,8008
Stanislaus,2018,548363,-0.1527591844743966,394821.36,±0.1,385092,1605
Sutter,2018,99498,-0.2396842372950371,72733.038,*****,72395,174
Tulare,2018,466766,-0.1685608699143525,316934.114,*****,303924,853
Ventura,2018,850604,-0.0942286354461516,638803.6039999999,±0.1,656711,8930
Yolo,2018,215708,-0.2171795635327998,169546.48799999998,±0.4,141511,2016
Yuba,2018,78751,-0.2437020022597143,56385.716,±0.3,52265,148
Alameda,2019,1675964,0.0656066415214084,1305575.956,*****,1110435,42887
Butte,2019,227263,-0.214941877401463,180674.08500000002,±0.1,154139,796
Contra Costa,2019,1161077,-0.034103916601103,881257.443,*****,857731,23018
El Dorado,2019,186714,-0.222794403142664,146197.06199999998,±0.2,163945,2391
Fresno,2019,1000679,-0.0651658274703512,707480.0530000001,*****,657283,5015
Humboldt,2019,137059,-0.2324103533678072,110058.377,±0.3,107404,1367
Imperial,2019,181025,-0.2238961077208704,129432.875,±0.2,157228,234
Kern,2019,898617,-0.0849306671013766,629930.517,±0.1,577670,2787
Kings,2019,151918,-0.2295328303712227,110140.55,±0.1,90430,367
Lake,2019,67902,-0.2458029678018063,54117.894,±0.9,61883,355
Los Angeles,2019,10067476,1.690666790664333,7681484.188,*****,6827293,141521
Madera,2019,155604,-0.2288190172098114,111256.86,±0.3,106033,480
Marin,2019,263645,-0.2078963129851674,209597.77500000002,±0.1,200569,8498
Mendocino,2019,91733,-0.2411879701215045,71643.473,±0.3,82115,847
Merced,2019,277693,-0.2051758443765114,192163.556,±0.1,186554,784
Monterey,2019,439477,-0.1738455273646381,322136.641,±0.1,320258,2880
Napa,2019,138982,-0.2320379543690568,107433.086,±0.2,112200,2009
Nevada,2019,101719,-0.2392541290390701,83409.58,±0.4,90006,886
Orange,2019,3192408,0.3592739463893384,2432614.896,*****,2352220,68931
Placer,2019,399659,-0.1815564911359553,305339.476,±0.1,322815,5216
Riverside,2019,2394094,0.2046762686522531,1738112.244,*****,1686102,19213
Sacramento,2019,1562887,0.0437086895808482,1173728.1369999999,*****,1076888,13923
San Bernardino,2019,2169538,0.1611898258215763,1557728.284,*****,1510228,14651
San Diego,2019,3302865,0.3806645216389335,2546508.9149999996,*****,2453257,44168
San Francisco,2019,872219,-0.090042777745689,755341.654,±0.1,407385,13771
San Joaquin,2019,767324,-0.1103562426307236,547102.012,±0.1,532035,4822
San Luis Obispo,2019,282935,-0.20416070368413,230026.155,±0.4,222583,3316
San Mateo,2019,765726,-0.1106657036811673,598797.7320000001,*****,645794,22710
Santa Barbara,2019,447907,-0.1722130138131739,346680.018,*****,322735,4201
Santa Clara,2019,1936821,0.1161229626951106,1479731.244,*****,1390964,71344
Santa Cruz,2019,272618,-0.2061586446462245,216186.074,±0.1,206461,4887
Shasta,2019,181573,-0.2237899846572639,141626.94,±0.3,142345,578
Solano,2019,450545,-0.1717021513281487,344666.925,±0.1,338919,4512
Sonoma,2019,494708,-0.1631497556017767,389335.196,±0.1,401497,9131
Stanislaus,2019,550947,-0.1522587793715516,396681.83999999997,±0.1,393560,2153
Sutter,2019,101531,-0.2392905362214752,74219.161,*****,73793,284
Tulare,2019,469228,-0.1680840907490257,318605.81200000003,*****,311412,1166
Ventura,2019,847064,-0.0949141749446312,636145.0639999999,±0.1,661074,11468
Yolo,2019,215874,-0.217147416765357,169676.96399999998,±0.4,142968,2629
Yuba,2019,79619,-0.2435339095239289,57007.204,±0.3,53707,236
Alameda,2021,1666341,0.063743097285852,1298079.639,*****,1104108,57033
Butte,2021,207403,-0.2187878701810692,164885.385,±0.1,157967,1329
Contra Costa,2021,1162336,-0.0338601046721239,882213.024,*****,870216,33850
El Dorado,2021,190737,-0.2220153281702392,149347.071,±0.2,169451,3665
Fresno,2021,1008202,-0.0637089592084692,712798.8140000001,*****,705260,7704
Humboldt,2021,135130,-0.2327839142979109,108509.38999999998,±0.3,112127,1801
Imperial,2021,180403,-0.2240165612711682,128988.14499999999,±0.2,176590,517
Kern,2021,905370,-0.0836229133631752,634664.37,±0.1,619717,4967
Kings,2021,151157,-0.2296802019978732,109588.825,±0.1,98692,639
Lake,2021,67778,-0.2458269810497757,54019.066000000006,±0.9,66714,461
Los Angeles,2021,9955445,1.6689714020897075,7596004.535,*****,6903230,209205
Madera,2021,155982,-0.22874581553455,111527.12999999999,±0.3,115772,903
Marin,2021,259721,-0.2086562160902618,206478.195,±0.1,199428,12369
Mendocino,2021,90910,-0.2413473483721397,71000.70999999999,±0.3,85815,1117
Merced,2021,280944,-0.2045462712382184,194413.24800000002,±0.1,205385,1506
Monterey,2021,436803,-0.1743633614377835,320176.599,±0.1,336102,4753
Napa,2021,137128,-0.2323969911572436,105999.944,±0.2,113580,3210
Nevada,2021,101985,-0.2392026167490713,83627.7,±0.4,92203,1489
Orange,2021,3172352,0.3553899971855227,2417332.224,*****,2358722,101782
Placer,2021,406443,-0.1802427340857615,310522.452,±0.1,332670,8805
Riverside,2021,2419165,0.2095313988122484,1756313.79,*****,1796471,33888
Sacramento,2021,1580120,0.0470459500829103,1186670.1199999999,*****,1147316,23750
San Bernardino,2021,2179006,0.163023353497171,1564526.308,*****,1612110,25249
San Diego,2021,3286880,0.3775689428583693,2534184.4799999995,*****,2514519,70095
San Francisco,2021,855338,-0.0933118716083542,740722.708,±0.1,403474,21822
San Joaquin,2021,780320,-0.107839499319356,556368.1599999999,±0.1,572492,8910
San Luis Obispo,2021,278737,-0.2049736683210276,226613.18099999998,±0.4,230362,5324
San Mateo,2021,756636,-0.1124260296815006,591689.3520000001,*****,573973,32424
Santa Barbara,2021,441552,-0.1734436927716028,341761.248,*****,335083,6938
Santa Clara,2021,1913779,0.111660758987775,1462127.156,*****,1352394,86809
Santa Cruz,2021,265533,-0.2075306919193116,210567.669,±0.1,210277,6730
Shasta,2021,181483,-0.2238074136275643,141556.74,±0.3,148623,1103
Solano,2021,450122,-0.1717840674885602,344343.33,±0.1,353833,7131
Sonoma,2021,484459,-0.1651345280085332,381269.233,±0.1,412861,12242
Stanislaus,2021,551342,-0.1521822855574557,396966.24,±0.1,418300,3889
Sutter,2021,99089,-0.2397634422822908,72434.059,*****,76936,604
Tulare,2021,474000,-0.1671599680126571,321846.0,*****,340870,2091
Ventura,2021,839916,-0.0962984224969285,630776.9159999999,±0.1,676387,17530
Yolo,2021,214911,-0.2173339067475705,168920.04599999997,±0.4,152903,3999
Yuba,2021,81917,-0.2430888898155938,58652.572,±0.3,57869,457
Alameda,2022,1643683,0.0593552571851312,"1,330,996",*****,1057501,72557
Amador,2022,40010,-0.2512043993531042,"34,333",±77,40697,413
Butte,2022,206184,-0.2190239359010259,"170,594",*****,151828,1732
Calaveras,2022,45021,-0.2502339930178269,"37,984",±123,51920,515
Colusa,2022,21722,-0.2547459661181313,"16,004",±39,19767,106
Contra Costa,2022,1149841,-0.0362798267154864,"904,597",*****,835523,44133
Del Norte,2022,26982,-0.2537273396316897,"21,664",±103,20045,128
El Dorado,2022,189294,-0.2222947726607212,"154,028",*****,162883,4869
Fresno,2022,1010177,-0.0633264901379897,"725,304",*****,688871,10390
Glenn,2022,28777,-0.2533797285018109,"21,077",±225,24773,130
Humboldt,2022,134167,-0.2329704042801244,"110,524",±64,106882,2126
Imperial,2022,180394,-0.2240183041681983,"128,529",*****,166477,770
Inyo,2022,18916,-0.2552893626810504,"14,991",±90,19560,176
Kern,2022,908186,-0.0830775802480004,"645,870",*****,602843,6880
Kings,2022,151654,-0.2295839553507703,"111,467",±46,95204,886
Lake,2022,67597,-0.2458620326456019,"53,513",±32,63526,600
Lassen,2022,29809,-0.2531798763090338,"26,413",±91,23115,44
Los Angeles,2022,9861493,1.6507771063379677,"7,843,618",*****,6650471,282343
Madera,2022,157040,-0.2285409283059083,"114,371",±45,113641,1241
Marin,2022,255459,-0.2094815746615952,"209,539",±60,191793,15449
Mariposa,2022,16988,-0.2556627299559286,"14,203",*****,17290,147
Mendocino,2022,90227,-0.2414796148911967,"71,895",±143,81800,1346
Merced,2022,284038,-0.2039471019703382,"199,973",*****,200238,2086
Modoc,2022,8547,-0.257297373714874,"7,015",±26,7632,10
Mono,2022,12987,-0.256437544513391,"10,710",±172,11671,144
Monterey,2022,436033,-0.1745124759614641,"324,567",*****,319103,6379
Napa,2022,135564,-0.2326998679300182,"109,937",±50,109871,4234
Nevada,2022,101080,-0.2393778747282024,"84,967",±70,84769,1946
Orange,2022,3158071,0.3526244069093114,"2,495,186",*****,2299018,134291
Placer,2022,407539,-0.1800304879585486,"317,418",*****,328962,12350
Plumas,2022,19254,-0.2552239072148114,"16,238",*****,18889,117
Riverside,2022,2427832,0.2112098086521701,"1,831,956",*****,1765291,47681
Sacramento,2022,1572254,0.0455226580786614,"1,213,923",*****,1107136,32416
San Benito,2022,65642,-0.2462406286115702,"48,279",±37,53803,1485
San Bernardino,2022,2179845,0.1631858302314152,"1,615,826",*****,1568171,36094
San Diego,2022,3278730,0.3759906527700617,"2,592,329",*****,2446883,95024
San Francisco,2022,840575,-0.096170803703285,"735,634",*****,386911,28011
San Joaquin,2022,782163,-0.1074825927386503,"571,981",*****,556150,12961
San Luis Obispo,2022,279439,-0.204837722352685,"232,675",*****,222920,6929
San Mateo,2022,742051,-0.1152504911462819,"604,063",*****,567346,43165
Santa Barbara,2022,443074,-0.1731489495183016,"346,632",*****,325288,8983
Santa Clara,2022,1895752,0.1081697362366189,"1,511,015",*****,1289536,108243
Santa Cruz,2022,264495,-0.2077317060434421,"218,251",±47,215275,8169
Shasta,2022,180206,-0.2240547113506034,"142,662",*****,132514,1516
Sierra,2022,3205,-0.2583318799298114,"2,510",±169,3537,18
Siskiyou,2022,43571,-0.2505147930948878,"35,177",±20,44395,241
Solano,2022,447027,-0.172383430411666,"351,998",*****,339309,9315
Sonoma,2022,479654,-0.1660650413673453,"394,354",*****,397389,15055
Stanislaus,2022,548215,-0.1527878454477794,"403,952",*****,403896,5345
Sutter,2022,99153,-0.2397510483478551,"73,859",*****,74337,885
Tehama,2022,64942,-0.2463761872694616,"49,908",*****,56998,288
Trinity,2022,15971,-0.2558596773203224,"13,281",±78,11910,63
Tulare,2022,474624,-0.1670391271519081,"330,454",*****,330357,2826
Tuolumne,2022,54500,-0.248398335134751,"45,660",±104,56034,495
Ventura,2022,831531,-0.0979222215632426,"654,314",*****,658712,23713
Yolo,2022,220176,-0.2163143119850012,"172,604",*****,149982,5077
Yuba,2022,82234,-0.2430275011090915,"59,542",±37,56190,689
Alameda,2023,1650656,0.0607056150729556,"1,306,255",*****,1028698,97131
Butte,2023,206579,-0.21894744208693,"164,972",*****,151420,2370
Contra Costa,2023,1145274,-0.0371642501306154,"904,586",*****,825102,58560
El Dorado,2023,188067,-0.2225323876224823,"154,992",±63,162480,6272
Fresno,2023,1010914,-0.0631837662367526,"737,410",±121,683686,14199
Humboldt,2023,134597,-0.232887132533134,"109,335",±535,105041,2513
Imperial,2023,179623,-0.2241676123471044,"128,867",±259,170519,1197
Kern,2023,906165,-0.0834689574588556,"654,441",±62,597507,9647
Kings,2023,151629,-0.2295887967314093,"111,965",*****,95631,1179
Lake,2023,66698,-0.2460361286933796,"53,202",±571,63373,760
Los Angeles,2023,9819312,1.642608535268654,"7,710,575",*****,6514305,392463
Madera,2023,157909,-0.2283726419148974,"119,406",±763,114621,1739
Marin,2023,253972,-0.2097695399820018,"206,252",±173,188135,19221
Mendocino,2023,89556,-0.2416095575475469,"71,266",±341,80638,1638
Merced,2023,285193,-0.2037234301848172,"209,139",±118,199940,2880
Monterey,2023,433953,-0.1749152788306273,"321,073",±413,326269,8505
Napa,2023,134508,-0.2329043678482087,"107,936",±281,108285,5371
Nevada,2023,100474,-0.2394952297948913,"84,777",±764,87433,2473
Orange,2023,3141065,0.3493311061434513,"2,489,875",*****,2260910,180716
Placer,2023,410085,-0.1795374417542748,"332,429",±103,329303,16898
Riverside,2023,2428580,0.2113546627608884,"1,899,182",*****,1758805,67446
Sacramento,2023,1576639,0.0463718362427386,"1,226,535",*****,1100057,45098
San Benito,2023,65165,-0.2463330021541619,"51,935",±679,54840,1935
San Bernardino,2023,2172694,0.1618010017134412,"1,641,871",±302,1554788,51206
San Diego,2023,3290423,0.3782550633225257,"2,594,849",*****,2419003,132113
San Francisco,2023,842224,-0.0958514662363378,"698,913",±755,371509,37412
San Joaquin,2023,783903,-0.1071456326461773,"593,733",±885,553941,19225
San Luis Obispo,2023,279818,-0.2047643270221981,"233,245",±308,222023,9139
San Mateo,2023,745302,-0.1146209180079888,"587,887",±864,543506,57455
Santa Barbara,2023,442342,-0.173290705143411,"343,094",±289,323007,11894
Santa Clara,2023,1902799,0.1095344246111347,"1,503,214",*****,1288696,141417
Santa Cruz,2023,263338,-0.2079557651394141,"214,684",±314,199421,10109
Shasta,2023,179122,-0.2242646336151096,"141,516",±111,140884,2001
Solano,2023,445506,-0.1726779800097416,"352,455",±672,336055,12809
Sonoma,2023,479445,-0.1661055153094871,"391,712",±245,396054,19064
Stanislaus,2023,545753,-0.1532646246131062,"405,321",±121,400864,7519
Sutter,2023,98248,-0.2399263063269862,"74,369",±180,73888,1147
Tehama,2023,64710,-0.2464211152817914,"49,287",*****,48496,398
Tulare,2023,474680,-0.1670282824592768,"338,510",±144,331744,3837
Ventura,2023,825960,-0.099001074824833,"651,462",*****,651851,31980
Yolo,2023,220454,-0.2162604758322958,"178,433",±709,152560,6757
Yuba,2023,82814,-0.2429151810782672,"62,561",*****,57567,961
